id_pelanggan,nama_pelanggan,telat_bayar_30,freq_keluhan_30,masa_langganan,avg_latency_30,downtime_30,loss_pct_30,p95_jitter_30,paket_speed,latepay_30d
SJK-0001,Dewi Lestari,2,0,349,161,1.1,0.94,12,20,1
SJK-0002,Nur Aisyah,3,1,781,168,0.9,0.21,14,50,1
SJK-0003,Hendra Gunawan,5,0,638,111,1.3,0.91,3,10,1
SJK-0004,Rina Kartika,3,2,681,134,1.5,0.55,9,10,1
SJK-0005,Bambang Suharto,0,3,645,153,2.8,0.59,19,50,0
SJK-0006,Rizky Pratama,5,4,640,149,2.4,1.63,7,20,1
SJK-0007,Dewi Lestari,0,0,265,63,0.2,0.6,12,50,0
SJK-0008,Agus Salim,3,4,711,174,2.3,1.21,13,50,1
SJK-0009,Fajar Hidayat,0,0,389,82,0.4,0.9,6,20,0
SJK-0010,Dewi Lestari,2,0,784,89,2.8,0.6,19,20,1
SJK-0011,Tari Wulandari,5,1,924,134,2.9,0.96,11,50,1
SJK-0012,Lina Marlina,1,4,828,85,0.9,1.26,18,10,1
SJK-0013,Hendra Gunawan,4,4,400,74,3.2,0.41,4,10,1
SJK-0014,Andi Saputra,2,1,135,82,2.5,1.37,5,10,1
SJK-0015,Rizky Pratama,4,1,122,165,2.5,0.51,18,10,1
SJK-0016,Tari Wulandari,3,3,620,50,1.3,1.4,6,30,1
SJK-0017,Putri Maharani,1,2,790,90,3.1,1.0,11,50,1
SJK-0018,Lina Marlina,2,1,109,62,2.8,1.75,6,50,1
SJK-0019,Fajar Hidayat,5,2,300,56,0.7,0.57,19,50,1
SJK-0020,Bambang Suharto,4,0,793,116,2.0,0.65,3,20,1
SJK-0021,Bambang Suharto,4,3,190,122,0.3,0.42,19,30,1
SJK-0022,Siti Aminah,3,4,834,93,3.5,0.67,17,10,1
SJK-0023,Andi Saputra,4,2,796,117,2.9,1.8,16,50,1
SJK-0024,Dewi Lestari,2,3,135,79,1.3,0.16,6,30,1
SJK-0025,Hendra Gunawan,5,0,194,127,3.2,0.22,16,50,1
SJK-0026,Yoga Prakoso,5,2,875,188,1.2,1.52,19,30,1
SJK-0027,Fajar Hidayat,5,4,784,51,1.4,0.41,4,50,1
SJK-0028,Rina Kartika,5,4,702,82,1.7,0.55,14,30,1
SJK-0029,Agus Salim,2,3,536,73,2.9,1.53,2,50,1
SJK-0030,Rina Kartika,2,0,690,152,2.3,1.42,16,20,1
SJK-0031,Bambang Suharto,4,2,593,106,3.4,1.36,8,30,1
SJK-0032,Hendra Gunawan,3,4,305,148,1.5,0.29,2,10,1
SJK-0033,Tari Wulandari,4,4,989,34,2.8,0.84,14,30,1
SJK-0034,Rina Kartika,0,3,177,51,2.8,1.63,19,20,0
SJK-0035,Lina Marlina,1,3,913,190,0.8,0.79,5,30,1
SJK-0036,Agus Salim,5,1,727,56,2.2,1.76,13,10,1
SJK-0037,Lina Marlina,1,3,682,76,2.2,1.09,7,20,1
SJK-0038,Hendra Gunawan,0,4,518,68,0.2,0.86,14,30,0
SJK-0039,Rizky Pratama,1,4,619,104,1.4,0.13,4,10,1
SJK-0040,Siti Aminah,3,1,345,114,2.7,1.44,14,50,1
SJK-0041,Tari Wulandari,4,1,871,64,3.3,0.53,6,50,1
SJK-0042,Siti Aminah,5,0,631,31,0.2,0.17,19,30,1
SJK-0043,Yoga Prakoso,3,3,867,33,0.9,1.29,18,10,1
SJK-0044,Fajar Hidayat,2,4,362,124,3.4,0.89,3,20,1
SJK-0045,Budi Santoso,0,4,410,108,3.0,0.35,15,30,0
SJK-0046,Fajar Hidayat,0,4,502,119,2.5,1.5,10,50,0
SJK-0047,Tari Wulandari,3,2,380,120,3.1,1.67,2,10,1
SJK-0048,Budi Santoso,4,2,461,35,0.7,1.23,8,10,1
SJK-0049,Fajar Hidayat,4,3,567,126,1.6,1.65,13,30,1
SJK-0050,Agus Salim,1,1,381,126,3.2,1.56,13,30,1
